スキル名,アイコン,タイプ,コスト,CD,スキル所持,説明,min,max,range,square,squareR,rect,line,lineR,low,high,rowRange,highRange,comment,exception
攻撃指揮,./img/skillIMG/攻撃指揮.png,オーラ,-,-,オーギュスト;軍医「口苦し」;マイティ,オーラ：自身範囲2マス以内の他の味方の攻撃力+12%。,,,,,,,,,,,,,,
裂傷旋風,./img/skillIMG/裂傷旋風.png,物理ダメージ,2,3,オーギュスト;破断の旋風;無法者・巨斧兵,物理ダメージ：自身範囲1輪以内の敵全員に90%の範囲ダメージを与え、?被回復を付与し、2ターン継続する。,,,1,,1,,,,,,2,2,範囲攻撃;対地面,
溜めの一撃(近距離),./img/skillIMG/溜めの一撃(近距離).png,通常攻撃;物理ダメージ,-,-,オーギュスト;ザビエル;マイティ;破断の旋風;テンペスト,通常攻撃：100%の物理ダメージを与える。<br>次回のスキルダメージ+15%。,1,1,-1,,,,,,1,1,2,2,近接;対ユニット,
壊滅,./img/skillIMG/壊滅.png,通常攻撃;物理ダメージ,-,-,オーギュスト,通常攻撃：単体攻撃。<br>100%のダメージを与える。<br>敵を攻撃する時、追加でターゲットのEN-1pt,1,1,-1,,,,,,1,1,2,2,近接;対ユニット,
覇王吼撃破,./img/skillIMG/覇王吼撃破.png,物理ダメージ,4,-,オーギュスト;王国の槍「烈嘯」,物理ダメージ：単体攻撃。<br>170%のダメージを与える。<br>攻撃前、ターゲットの3個のバフを解除、孤立を付与し、2ターン継続する。,1,1,-1,,,,,,1,1,2,2,近接;対ユニット,
神怒・天地燃滅,./img/skillIMG/神怒・天地燃滅.png,物理ダメージ,4,3,オーギュスト,物理ダメージ：ターゲット方向3×4エリアの敵全員に90%のダメージを与える。<br>攻撃前、ターゲットの2個のバフを解除する。<br>怒り爆発状態の場合、50%の確率でターゲットにスタンを付与する。,1,1,34,,,1,,,2,2,2,2,範囲攻撃;対地面,
ノックバック連撃,./img/skillIMG/ノックバック連撃.png,物理ダメージ,3,-,ナルギル;静謐の戒め;無法者・斧盾兵,物理ダメージ：単体攻撃。<br>30%のダメージを与える。<br>もう一度追撃し、自身の物防値200%のダメージを与える。<br>最大物攻値150%。<br>2マスノックバックする。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
急速援護,./img/skillIMG/急速援護.png,支援;即時,2,2,ナルギル,支援：即時。<br>味方ターゲットと位置を交換し、自身とターゲットに物攻値50%の物理シールドを付与する。<br>自身範囲1輪以内の味方全員に代わり物理攻撃を受け、すべての効果が2ターン継続する。,1,3,-1,,,,,,8,8,,,対ユニット,
腹部打撃,./img/skillIMG/腹部打撃.png,物理ダメージ,-,3,ナルギル;傭兵・剣盾兵,物理ダメージ：単体攻撃。<br>130%のダメージを与え、▽素早さLv.2を付与し、2ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
照射をマーキング,./img/skillIMG/照射をマーキング.png,デバフ;即時,-,4,ナルギル,デバフ：即時。<br>ターゲット方向直線5マス以内のすべての敵ユニットに吊し人のマーク、▽攻撃Lv.2、虚弱Lv.2を付与し、2ターン継続する。,1,1,15,,,1,,,2,2,2,2,対地面,
チャージソード,./img/skillIMG/チャージソード.png,パッシブ,-,-,ナルギル,パッシブ：行動開始時、自身が敵の危険範囲外にいる場合、ソードチャージを獲得する。<br>ソードチャージを所持する場合、単体攻撃で吊し人のマークを所持する敵を攻撃すると、ダメージ+30%、30%のHPドレインが発生する。,,,,,,,,,,,,,,
緊急回避モジュール,./img/skillIMG/緊急回避モジュール.png,リアクション,-,7,ナルギル,リアクション：自身が瀕死状態の場合、すべての単体攻撃を回避し、1ターン継続する。<br>行動開始時、50%のHPを回復する。<br>CDは7ターン。,,,,,,,,,,,,,,
疾走如風,./img/skillIMG/疾走如風.png,陣営オーラ,-,-,ナルギル,陣営オーラ：フィールド上の陣営が<疾走如風>の味方の攻撃力+10%、防御力+20%、クリティカル発生率+15%。,,,,,,,,,,,,,,
背水の陣,./img/skillIMG/背水の陣.png,物理ダメージ,3,2,ナルギル;アレクセイ;無法者・斧盾兵,物理ダメージ：単体攻撃。<br>150%ダメージを与える。<br>攻撃前、攻撃態勢を獲得し、2ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
沈黙の一撃(近距離),./img/skillIMG/沈黙の一撃(近距離).png,通常攻撃;物理ダメージ,-,-,ナルギル;グロリア;スティンガー,通常攻撃：100%の物理ダメージを与える。<br>攻撃前、負傷状態の敵に?アクティブスキルを付与し、2ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
絶対領域,./img/skillIMG/絶対領域.png,支援,2,5,ナルギル,支援：自身範囲1マス以内に警戒を行い、発動すると70%のダメージを与え、敵の行動を中断できる。<br>1ターンで最大2回発動する。,,,1,,,,,,,,2,2,対ユニット,
ゼロ距離全力放射,./img/skillIMG/ゼロ距離全力放射.png,物理ダメージ,3,5,ナルギル,物理ダメージ：単体攻撃。<br>110%のダメージを与え、4マスノックバックする。<br>ターゲット方向3×3エリアの敵全員に50%の範囲ダメージを与え、▽素早さLv.1を付与し、1ターン継続する。,1,1,33,,,1,,,,,2,2,近接;対ユニット,
強力射撃,./img/skillIMG/強力射撃.png,物理ダメージ,2,-,ヌンガル;バリスタ;鷹の目;傭兵・弓兵,物理ダメージ：単体攻撃。<br>130%のダメージを与える。<br>ターゲットが健康状態の場合、追加で攻撃力+15%。,1,3,-1,,,,,,5,3,,,遠距離;対ユニット,
集中,./img/skillIMG/集中.png,パッシブ,-,-,ヌンガル;ファカール;王国軍・弓兵,パッシブ：行動開始時、自身範囲2マス以内に敵がいない場合、△クリティカルLv.2を獲得し、1ターン継続する。,,,,,,,,,,,,,,
引き絞る,./img/skillIMG/引き絞る.png,支援,-,-,ヌンガル;王国軍・弓兵,支援：スキル発動後、通常攻撃のダメージ+30%。<br>行動終了時、ENを回復しない。,,,0,,,,,,,,,,対ユニット,
致命の照準,./img/skillIMG/致命の照準.png,物理ダメージ,4,2,ヌンガル,物理ダメージ：単体攻撃。<br>1ターン準備する。<br>敵に160%ダメージを与え、ブロックを無視する。<br>吊し人のマークを持つ敵を攻撃するとき、クリティカル発生率+60%アップ。<br>クリティカルした後、吊し人のマークを解除。,3,5,-1,,,,,,7,3,,,対ユニット,
狙撃態勢,./img/skillIMG/狙撃態勢.png,支援;即時,1,3,ヌンガル,攻撃態勢支援：即時。<br>自身が狙撃態勢を獲得し、スキルが移動態勢に変化する。,,,6,,,,,,2,2,,,対ユニット,
狙撃手の直感,./img/skillIMG/狙撃手の直感.png,リアクション,-,3,ヌンガル,リアクション：被遠距離ダメージ-20%。<br>行動開始時、自身が敵の危険範囲内にいる場合、△移動Lv.2を獲得する。<br>1ターン継続、CD3ターン。,,,,,,,,,,,,,,
高地優勢,./img/skillIMG/高地優勢.png,リアクション,-,-,ヌンガル;ミゲル;狙撃教官「鋭い一閃」;バリスタ;鷹の目,リアクション：アクティブ攻撃を受けた場合、被ダメージ-8%。<br>低地攻撃を受けた場合、追加で被ダメージ-30%。,,,,,,,,,,,,,,
重貫通矢,./img/skillIMG/重貫通矢.png,パッシブ,-,-,ヌンガル;バリスタ,パッシブ：通常攻撃時、ターゲットの防御力の40%を無視する。,,,,,,,,,,,,,,
使命感,./img/skillIMG/使命感.png,パッシブ,-,-,ヌンガル,パッシブ：吊し人のマークを所持する敵を攻撃する時、攻撃前、クリティカル発生率+30%、クリダメ+30%。<br>クリティカルする時、追加で1ptのENを回復する。,,,,,,,,,,,,,,
致命の一撃(遠距離),./img/skillIMG/致命の一撃(遠距離).png,通常攻撃;物理ダメージ,-,-,ヌンガル;恩寵の閃光,通常攻撃：100%の物理ダメージを与える。<br>クリダメ+15%。,2,3,-1,,,,,,5,3,,,遠距離;対ユニット,
マーキング弾,./img/skillIMG/マーキング弾.png,通常攻撃;物理ダメージ,-,-,ヌンガル,通常攻撃：単体攻撃。<br>85%の物理ダメージを与え、▽移動Lv.1、吊し人のマークを付与し、2ターン継続する。,2,3,-1,,,,,,5,3,,,遠距離;対ユニット,
高速装填,./img/skillIMG/高速装填.png,支援;即時,-,4,ヌンガル,支援：即時。<br>ENを3pt回復し、CDは1ターン短縮する。<br>3ターンの間、致命の照準が1ターン準備しなくても発動可能になる。,,,0,,,,,,,,,,対ユニット,
鷹の目,./img/skillIMG/鷹の目.png,支援;即時,1,5,ヌンガル;王国軍・弓兵,支援：即時。<br>通常攻撃の射程+1マス、物攻+10%。<br>攻撃前、高地優勢を獲得し、3ターン継続する。,,,0,,,,,,,,,,対ユニット,
氷槍,./img/skillIMG/氷槍.png,魔法ダメージ,1,-,シモーナ;闇の光・氷術師;法皇国・氷の術師,魔法ダメージ：単体攻撃。<br>130%のダメージを与え、▽素早さLv.1、▽移動Lv.1を付与し、2ターン継続する。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
氷風爆,./img/skillIMG/氷風爆.png,魔法ダメージ,2,3,シモーナ;法皇国・氷の術師,魔法ダメージ：ターゲット方向2×3エリア内の各列1番目の敵に75%の範囲ダメージを与え、▽素早さLv.1、▽移動Lv.1を付与する。<br>2ターン継続し、2マスノックバックする。,1,1,32,,,1,,,2,2,2,2,範囲攻撃;対地面,
氷錐術,./img/skillIMG/氷錐術.png,魔法ダメージ,2,-,シモーナ;闇の光・氷術師;法皇国・氷の術師,魔法ダメージ：1個の地点を選択し、ターゲット地点から1マス以内の敵全員に80%の氷属性範囲ダメージを与える。,1,3,1,,,,,,8,8,2,2,範囲攻撃;対地面,
アイシングアサルト,./img/skillIMG/アイシングアサルト.png,魔法ダメージ;即時,1,4,シモーナ,魔法ダメージ：即時。<br>自身の十字範囲内から1箇所を選択し、突進する。<br>進行ルート上の敵全員に物理シールド100%分の氷属性ダメージを与える。<br>自身は2ターンの間氷面作戦を獲得。,2,3,3,,,,1,1,1,1,2,2,範囲攻撃;対地面,
氷を以て鎧となす,./img/skillIMG/氷を以て鎧となす.png,支援,2,4,シモーナ,支援：ターゲット方向の3×4エリアと、その場の横3マス内にいる味方全員に氷の鎧の再生Lv.1を付与し、2ターン継続する。<br>自身が氷の鎧を所持する場合、消費するEN-1。,0,1,34,,,1,,,8,8,2,2,対地面,1
アイスクラッシュ,./img/skillIMG/アイスクラッシュ.png,リアクション,-,-,シモーナ,リアクション：氷の鎧が破壊された後、自身範囲2マス以内の敵全員に50%の魔法ダメージを与え、ターゲットに▽移動Lv.3を付与し、1ターン継続する。,,,,,,,,,,,,,,
氷の庇護,./img/skillIMG/氷の庇護.png,リアクション,-,-,シモーナ,リアクション：▽移動を所持する敵からアクティブ攻撃を受けた場合、被ダメージ-30%。,,,,,,,,,,,,,,
急凍術,./img/skillIMG/急凍術.png,魔法ダメージ,2,3,シモーナ;闇の光・氷術師,魔法ダメージ：単体攻撃。<br>80%のダメージを与え、▽移動Lv.3を付与し、2ターン継続する。<br>ターゲットに任意の▽移動が存在する場合、追加で氷漬けを付与し、2ターン継続する。,1,3,-1,,,,,,5,3,,,遠距離;対ユニット,
騎士連合の戦旗,./img/skillIMG/騎士連合の戦旗.png,陣営オーラ,-,-,シモーナ;フレア,陣営オーラ：フィールド上の陣営が<騎士連合>の味方の攻撃力+10%、防御力+20%。,,,,,,,,,,,,,,
氷を以て剣となす,./img/skillIMG/氷を以て剣となす.png,魔法ダメージ,-,-,シモーナ,魔法ダメージ：単体攻撃。<br>110%のダメージを与える。<br>▽移動または凍結のパネルにいる敵を攻撃する時、与ダメージ+30%。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
氷結の一撃(魔法),./img/skillIMG/氷結の一撃(魔法).png,通常攻撃;魔法ダメージ,-,-,シモーナ,通常攻撃：80%の魔法ダメージを与え、健康状態の敵に▽移動Lv. 1を付与し、1ターン継続する。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
末世の寒冬,./img/skillIMG/末世の寒冬.png,魔法ダメージ,3,5,シモーナ,魔法ダメージ：自身十字範囲内の1個の地点を選択し、ターゲット方向5×3範囲内の敵全員に70%の氷属性ダメージを与える。<br>さらに中心横列の3マスで氷壁を召喚する。<br>パネルが占められる場合、ターゲットに氷漬けを付与し、1ターン継続する。<br>戦闘開始後1ターンはスキル使用不可。,1,3,53,,,1,1,,8,8,2,2,範囲攻撃;対地面,3
生きる意志,./img/skillIMG/生きる意志.png,パッシブ,-,2,シモーナ;ティードン;ライトニング;マイティ;テンペスト,パッシブ：行動開始時、自身が瀕死状態にいると、50%のHP、2ptのENを回復し、CDは2ターン。,,,,,,,,,,,,,,
全力の槍騎兵突進,./img/skillIMG/全力の槍騎兵突進.png,物理ダメージ,3,2,レオニード,物理ダメージ：自身十字範囲内の敵1体を選択し、近くに突撃して60%のダメージを与える。<br>攻撃前、自身のHP30%を攻撃力に追加し(最大物攻値200%)、2マスノックバックする。<br>ラッシュする時、ターゲットにスタンを付与し、1ターン継続する。,1,3,-1,,,,1,,1,1,,,近接;対ユニット,
現地警戒,./img/skillIMG/現地警戒.png,支援,2,-,レオニード;法皇国・投槍兵;傭兵・長槍兵,支援：ターゲット方向の2マスに警戒し、150%の物理範囲ダメージを与える。,1,1,2,,,,,1,2,2,2,2,対地面,
突進姿勢,./img/skillIMG/突進姿勢.png,支援;即時,-,4,レオニード,支援：即時。<br>移動力+2マス、直線移動しかできない。<br>移動した後、攻撃力+15%。<br>攻撃した後、さらに移動でき、残りの移動力を継承する。<br>発動した後、スキルが突撃解除に変化する。,,,0,,,,,,,,,,対ユニット,
突撃解除,./img/skillIMG/突撃解除.png,支援,-,-,レオニード,即時。<br>[突進姿勢]を解除する。,,,0,,,,,,,,,,対ユニット,
テンプルナイト,./img/skillIMG/テンプルナイト.png,パッシブ,-,-,レオニード,パッシブ：戦闘開始時、HP+15%。<br>負傷状態のマイナス影響を受けない。<br>攻撃前、自身の最大HPがターゲットの現在HPを超える場合、ターゲットを1マスノックバックする。,,,,,,,,,,,,,,
エンデュランス,./img/skillIMG/エンデュランス.png,リアクション,-,-,レオニード;キャンドル;傭兵・長槍兵,リアクション：アクティブ攻撃を受けた場合、被ダメージ-8%。<br>負傷状態の場合、被ダメージ-20%。,,,,,,,,,,,,,,
守護の約束,./img/skillIMG/守護の約束.png,リアクション,-,3,レオニード,リアクション：自身範囲2マス以内の味方全員の代わりに近接ダメージを受ける。<br>先制して70%のダメージを与える。<br>CDは3ターン。,,,,,,,,,,,,,,
突進追撃,./img/skillIMG/突進追撃.png,物理ダメージ;即時,-,3,レオニード;王国の槍「烈嘯」;破断の旋風;王国軍・長槍兵,物理ダメージ：即時。<br>自身十字範囲内の敵1体を選択、近くに突撃し、30%のダメージを与え、先制を無効化する。,1,3,-1,,,,1,,1,1,,,近接;対ユニット,
列陣如林,./img/skillIMG/列陣如林.png,陣営オーラ,-,-,レオニード,陣営オーラ：フィールド上の陣営が<列陣如林>の味方の攻撃力+10%、防御力+20%。<br>CDターンが4以上のスキルは、CD-1ターン。,,,,,,,,,,,,,,
光栄の槍騎兵突進,./img/skillIMG/光栄の槍騎兵突進.png,物理ダメージ,1,6,レオニード,物理ダメージ：自身十字範囲内の敵1体を選択し、近くに突撃して100%のダメージを与える。<br>攻撃前、自身の2個のデバフを解除し、HPを回復する。<br>回復量は攻撃力の100%、自身のHPの35%を攻撃力に追加する(最大物攻値の200%)。,1,3,-1,,,,1,,1,1,,,近接;対ユニット,
受け身,./img/skillIMG/受け身.png,パッシブ,-,-,レオニード;騎士連合・長槍兵,パッシブ：近接物理攻撃を受ける前、ターゲットに向きを変え、自身の物攻の20%を物防に追加する。,,,,,,,,,,,,,,
山地警戒,./img/skillIMG/山地警戒.png,支援,2,-,イギー,支援：ターゲット方向2×3エリアに警戒を行い、警戒発動すると150%の遠距離物理ダメージを与える。,1,1,32,,,1,,,2,2,2,2,対地面,
強力投擲,./img/skillIMG/強力投擲.png,物理ダメージ,2,3,イギー;法皇国・投槍兵;無法者・巨斧兵;無法者・長槍兵,物理ダメージ：単体攻撃。<br>150%のダメージを与える。,1,2,-1,,,,,,5,3,,,遠距離;対ユニット,
グレイヴォルフの跳躍,./img/skillIMG/グレイヴォルフの跳躍.png,支援;即時,-,3,イギー,支援：即時。<br>ターゲット地点にジャンプして△クリダメLv.1を獲得し、1ターン継続する。,1,3,-1,,,,,,8,8,,,対地面,
狩りの準備,./img/skillIMG/狩りの準備.png,パッシブ,-,-,イギー,パッシブ：行動終了時、10%のHPを回復し、狩りの準備を獲得する。<br>効果：攻撃前、高地優勢を獲得する。<br>ターゲットを倒す場合、1ptのENを回復し、効果が次の行動開始まで継続する。,,,,,,,,,,,,,,
先制,./img/skillIMG/先制.png,リアクション,-,-,イギー;王国の槍「烈嘯」;王国軍・長槍兵;騎士連合・長槍兵,リアクション：正面、側面からのアクティブ攻撃を受ける前、反撃を行い、70%のダメージを与える。<br>1ターンで1回発動する。,,,,,,,,,,,,,,
狼の警戒心,./img/skillIMG/狼の警戒心.png,リアクション,-,-,イギー,リアクション：行動終了時、自身範囲6マス以内に敵がいる場合、自身が△移動Lv.1、被ダメージ軽減Lv.3を獲得し、2ターン継続する。<br>CDは4ターン。,,,,,,,,,,,,,,
晶塵煙爆弾,./img/skillIMG/晶塵煙爆弾.png,魔法ダメージ,1,3,イギー,魔法ダメージ：自身範囲2マス以内の敵全員に物攻値50%の魔法ダメージを与え、3スタックの感染、▽移動Lv.2を付与し、1ターン継続する。<br>攻撃後、残りの移動力を継承し、さらに移動できる。,,,2,,,,,,,,2,2,範囲攻撃;対ユニット,
遠い山の角笛,./img/skillIMG/遠い山の角笛.png,支援,1,5,イギー,支援：フィールド上の陣営が<ウィルダ>の味方全員が△移動Lv.1、△攻撃Lv.1を獲得し、2ターン継続する。<br>敵の危険範囲にいると、追加で△素早さLv.2を獲得し、2ターン継続する。,,,99,,,,,,,,10,10,対地面,
巨獣狩り,./img/skillIMG/巨獣狩り.png,物理ダメージ,4,-,イギー,物理ダメージ：単体攻撃。<br>170%のダメージを与える。<br>ターゲットの最大HPが自身より高い場合、攻撃前、クリティカル発生率+60%、シールドブレイクLv.2を獲得する。,1,2,-1,,,,,,5,3,,,近接;対ユニット,
翔竜瞬閃突,./img/skillIMG/翔竜瞬閃突.png,物理ダメージ,1,4,イギー;法皇国・投槍兵,物理ダメージ：自身十字範囲内の地点を1個選択、突撃し、経路上の敵全員に80%のダメージを与え、突撃は阻止されない。<br>攻撃後、自身が受け身を獲得し、2ターン継続する。,3,4,4,,,,1,1,1,1,2,2,範囲攻撃;対地面,
山崩し,./img/skillIMG/山崩し.png,物理ダメージ,3,2,マグナス,物理ダメージ：単体攻撃。<br>150%のダメージを与える。<br>攻撃前、ターゲットが負傷状態の場合、ターゲットを孤立させる。<br>ターゲットを倒す時、自身が2ptのENを回復する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
攻撃態勢,./img/skillIMG/攻撃態勢.png,支援;即時,1,1,マグナス;騎士連合・剣盾兵,支援：即時。<br>自身の物防値40%を物攻値に追加し、被ダメージ+8%、2ターン継続する。,,,0,,,,,,,,,,対ユニット,
不屈,./img/skillIMG/不屈.png,パッシブ,-,-,マグナス;静謐の戒め;王国軍・剣盾兵,パッシブ：倒された時、直ちにHPを5%回復する。<br>1戦で最大1回発動する。,,,,,,,,,,,,,,
強力な投擲,./img/skillIMG/強力な投擲.png,物理ダメージ,1,3,マグナス,物理ダメージ：敵を自身から3?4マス離れた空地に投げ、ターゲット範囲1輪以内の敵全員に70%のダメージを与え、▽移動Lv.1を付与し、2ターン継続する。,3,4,1,,1,,,,,,2,2,近接;対ユニット,
必勝の雄叫び,./img/skillIMG/必勝の雄叫び.png,パッシブ,-,-,マグナス,パッシブ：自身範囲2マス以内で敵が倒される時、自身範囲5マスの敵全員に▽攻撃Lv.2を付与し、味方に△ダメージLv.2を付与し、2ターン継続する。<br>山崩しを発動する前に、効果が即座に発動し、1ターンで最大1回発動する。,,,,,,,,,,,,,,
血に餓えた巨斧,./img/skillIMG/血に餓えた巨斧.png,リアクション,-,-,マグナス,リアクション：正面・側面の敵にアクティブ攻撃される時、通常攻撃で反撃する。<br>1ターンで1回発動する。,,,,,,,,,,,,,,
硬化,./img/skillIMG/硬化.png,リアクション,-,-,マグナス;ライトニング;破断の旋風;法皇国・氷の術師,リアクション：アクティブ攻撃を受けた場合、被ダメージ-8%。<br>攻撃を受けた後、自身が被ダメージ軽減Lv.2を獲得し、2ターン継続する。,,,,,,,,,,,,,,
鉄と血の意志,./img/skillIMG/鉄と血の意志.png,陣営オーラ,-,-,マグナス,陣営オーラ：フィールド上の陣営が<不動如山>の味方全員は、攻撃力+10%、防御力+20%。<br>健康状態の場合、被ダメージ-10%、負傷状態によるマイナス影響を受けない。,,,,,,,,,,,,,,
強力な振り回し,./img/skillIMG/強力な振り回し.png,通常攻撃;物理ダメージ,-,-,マグナス,通常攻撃：ターゲット方向3×2エリアの敵全員に70%の範囲ダメージを与える。,1,2,32,,,1,,,2,2,2,2,範囲攻撃;対ユニット,4
鋭い刃,./img/skillIMG/鋭い刃.png,パッシブ,-,-,マグナス;静謐の戒め;傭兵・剣盾兵,パッシブ：アクティブ攻撃時、ダメージ+10%。<br>反撃時、ダメージ+30%。,,,,,,,,,,,,,,
鋼の戦車,./img/skillIMG/鋼の戦車.png,物理ダメージ,4,-,マグナス,物理ダメージ：単体攻撃。<br>自身の物防値300%のダメージを与える。<br>最大で物攻値200%。<br>攻撃前、自身の物攻値20%を物防値に追加し、2ターン継続する。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
シールドブレイク射撃,./img/skillIMG/シールドブレイク射撃.png,物理ダメージ,2,-,エダ,物理ダメージ：自身十字範囲内の敵1体を選択し、135%のダメージを与える。<br>攻撃前に、シールドブレイクLv.4を獲得する。,1,3,-1,,,,1,,,,,,遠距離;対ユニット,
建築工事,./img/skillIMG/建築工事.png,支援;即時,-,4,エダ,支援：即時、ターゲット地点で箱を1個召喚する。,1,1,-1,1,,,,,99,99,,,対地面,
導きの微光,./img/skillIMG/導きの微光.png,支援,1,4,エダ,支援：自身範囲3マス以内の味方全員に△ダメージLv.3、△魔防Lv.2、△移動Lv.1を付与し、3ターン継続する。<br>ターゲットのすべての干渉を解除する。,,,3,,,,,,,,2,2,対ユニット,
酒樽抛射,./img/skillIMG/酒樽抛射.png,物理ダメージ;即時,-,4,エダ,物理ダメージ：即時、ターゲット範囲1輪以内の敵全体に20%のダメージを与え、パネルを火酒に変える。,2,4,1,,1,,,,,,,,範囲攻撃;対地面,
隠れ場活かし,./img/skillIMG/隠れ場活かし.png,リアクション,-,-,エダ,リアクション：自身範囲1マス以内にアイテムがある時、被ダメージ-40%。,,,,,,,,,,,,,,
防御突破,./img/skillIMG/防御突破.png,パッシブ,-,-,エダ;狙撃教官「鋭い一閃」;傭兵・長槍兵;無法者・斧盾兵,パッシブ：単体攻撃前、50%の確率でターゲットに▽物防Lv.2を付与し、2ターン継続する。,,,,,,,,,,,,,,
市街戦,./img/skillIMG/市街戦.png,パッシブ,-,-,エダ,パッシブ：自身範囲1輪以内にアイテムがある時、攻撃力+15%。<br>アクティブ攻撃後、さらに2マス移動できる。,,,,,,,,,,,,,,
破盾の一撃(遠距離),./img/skillIMG/破盾の一撃(遠距離).png,通常攻撃;物理ダメージ,-,-,エダ,通常攻撃：100%の物理ダメージを与える。<br>攻撃前、シールドブレイクLv.1を獲得する。,2,3,-1,,,,,,5,3,,,遠距離;対ユニット,
解除の一撃(遠距離),./img/skillIMG/解除の一撃(遠距離).png,通常攻撃;物理ダメージ,-,-,エダ;輝ける光の鞭;輝ける慈愛,通常攻撃：100%の物理ダメージを与え、ターゲットの2個のバフを解除する。,2,3,-1,,,,,,5,3,,,遠距離;対ユニット,
武器を取れ！,./img/skillIMG/武器を取れ！.png,支援,3,4,エダ,支援：自身範囲4マス以内の他の味方に1ptのENを回復させる。<br>自身が援護攻撃状態の場合、ダメージ+130%、1ターンで最大発動する回数が2増加し、1ターン継続する。,,,4,,,,,,,,2,2,対ユニット,
暴風狙撃,./img/skillIMG/暴風狙撃.png,物理ダメージ,4,-,エダ;恩寵の閃光,物理ダメージ：単体攻撃。<br>自身十字範囲内の敵1体を選択し、120%のダメージを与える。<br>ターゲットとの距離が1マス離れる(隣接マスは0マス扱い)ごとに、ダメージ+10%。,1,5,-1,,,,1,,5,3,,,遠距離;対ユニット,
処刑の時,./img/skillIMG/処刑の時.png,物理ダメージ,2,-,ガルシア,物理ダメージ：単体攻撃。<br>120%のダメージを与える。<br>ターゲットを倒す時、1スタックの回転加速を獲得する。<br>6スタックの回転加速を所持すると、攻撃前、ダメージ+45%。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
ロック,./img/skillIMG/ロック.png,パッシブ,-,-,ガルシア;紅のハヤブサ,パッシブ：行動開始時、自身範囲6マス以内の最も物攻が高い敵に▽物防Lv.2を付与し、1ターン継続する。,,,,,,,,,,,,,,
血の匂い,./img/skillIMG/血の匂い.png,支援;即時,1,4,ガルシア,支援：即時。<br>30%のHPを回復し、さらに自身3個のデバフを解除し、潜在覚醒を獲得し、1ターン継続する。,,,0,,,,,,,,,,対ユニット,
命の刈り取り,./img/skillIMG/命の刈り取り.png,リアクション,-,-,ガルシア,リアクション：自身十字範囲3マス以内の敵全員が味方に攻撃された後、瀕死状態の場合、援護攻撃する。<br>ターゲットの失われたHPの50%の貫通ダメージを与える。<br>1ターンで最大1回発動する。,,,,,,,,,,,,,,
スピニングエッジ,./img/skillIMG/スピニングエッジ.png,物理ダメージ;即時,3,-,ガルシア,物理ダメージ：即時。<br>自身十字範囲内の敵1体を選択して近くに引き寄せ、70%のダメージを与える。<br>任意のターゲットを倒す時、2ptのENを回復する。,1,3,-1,,,,1,,2,2,,,遠距離;対ユニット,
孤軍奮闘,./img/skillIMG/孤軍奮闘.png,パッシブ,-,-,ガルシア;傭兵・刺客,パッシブ：自身範囲2マス以内に他の味方がいない場合、攻撃と防御能力値+8%、クリティカル発生率+10%。,,,,,,,,,,,,,,
苦痛の切断,./img/skillIMG/苦痛の切断.png,通常攻撃;物理ダメージ,-,-,ガルシア,通常攻撃：単体攻撃。<br>33%の物理ダメージを3回与える。<br>ターゲットが負傷状態の場合、クリティカル発生率+25%。,1,1,-1,,,,,,2,2,,,近接;対ユニット,
疾風乱舞,./img/skillIMG/疾風乱舞.png,物理ダメージ,2,5,ガルシア;ライトニング,物理ダメージ：自身範囲2マス以内のすべての敵に75%の範囲ダメージを与える。<br>攻撃前、△クリティカルLv.2を獲得し、2ターン継続する。,,,2,,,,,,,,2,2,範囲攻撃;対地面,
隠れし処刑人,./img/skillIMG/隠れし処刑人.png,パッシブ,-,-,ガルシア,パッシブ：攻撃前、ターゲット1輪以内に他の味方がいない場合、ターゲットに孤立、?回避を付与し、2ターン継続する。<br>1ターンで最大1回発動する。,,,,,,,,,,,,,,
厄運侵蝕,./img/skillIMG/厄運侵蝕.png,魔法ダメージ,3,-,モモ,魔法ダメージ：ターゲット方向3×4エリアの敵全員に65%の範囲ダメージを与え、2スタックの感染を付与する。<br>自身は厄運の目覚を所持する場合、ターゲットが攻撃されると即に感染ダメージを発動し、感染スタック数を半分解除。,1,1,34,,,1,,,2,2,2,2,範囲攻撃;対地面,
フィールド,./img/skillIMG/フィールド.png,オーラ,-,-,モモ;法皇国・氷の術師,オーラ：自身範囲3マス以内の味方全員の被範囲ダメージ-25%。,,,,,,,,,,,,,,
侵蝕異能,./img/skillIMG/侵蝕異能.png,パッシブ,-,-,モモ,パッシブ：ダメージ+10%。<br>ダメージを与えた後、ターゲットに1スタックの感染を付与する。<br>単体アクティブ攻撃時、ターゲットに感染を追加で1スタック付与する。,,,,,,,,,,,,,,
